bce_number,name,status
0205970788,Société Intercommunale pour l'Assainissement et l'Aménagement de la Vallée de la Woluwe,AC
0206041757,Intercommunale pure de financement du Brabant Wallon,AC
0206048091,Skeyes,AC
0206157761,"ACADEMIE INTERCOMMUNALE DE MUSIQUE, DE DANSE ET DES ARTS DE LA PAROLE DE COURT-SAINT-ÉTIENNE ET OTTIGNIES-LOUVAIN-LA-NEUVE",AC
0206414218,Abattoir communal de Chimay,AC
0206460639,Intergemeentelijk Samenwerkingsverband van het Land van Waas,AC
0206491422,Commune de Court-Saint-Etienne,AC
0206491917,Commune de Mont-Saint-Guibert,AC
0206492511,Régie de l'Electricité de Wavre,AC
0206492610,Commune de Perwez,AC
0206492907,Théatre Royal de la Monnaie - Koninklijke Muntschouwburg,AC
0206524777,Ville de Virton,AC
0206524876,Ville d'Arlon,AC
0206538536,Gemeentelijk Slachthuisbedrijf van Geel,AC
0206543781,Ville de Neufchâteau,AC
0206544474,Commune de Hotton,AC
0206544672,Commune de Gedinne,AC
0206544969,Ville de Bouillon,AC
0206545266,Abattoir Communal de Bertrix,AC
0206545464,Abattoir Communal de Saint-Hubert,AC
0206545662,Abattoir Communal de La Roche,AC
0206559025,Regle van Telegraaf en Telefoon (Gewest Hasselt),AC
0206561993,Gemeente Steenokkerzeel,AC
0206562092,Gemeente Hoeilaart,AC
0206564666,Ville de Saint-Hubert,AC
0206564963,Commune de Libin,AC
0206565656,Commune de Daverdisse,AC
0206565755,Commune de Wellin,AC
0206565953,Commune de Herbeumont,AC
0206566052,Commune de Paliseul,AC
0206567042,Commune de Bertrix,AC
0206567339,Commune de Léglise,AC
0206578722,Ville de La Roche-en-Ardenne,AC
0206578821,Commune de Tenneville,AC
0206582284,Commune d'Anderlecht,AC
0206593667,Centrale Electrique,AC
0206607129,Banc d'Epreuves des Armes a Feu de Liège,AC
0206618215,Ville d'Eupen,AC
0206621183,Ville de Limbourg,AC
0206621282,Commune de Pepinster,AC
0206621678,Commune de Baelen,AC
0206621975,Commune de Welkenraedt,AC
0206625935,Ville de Walcourt,AC
0206626331,Ville de Philippeville,AC
0206626925,Ville de Couvin,AC
0206628707,Ville de Châtelet,AC
0206636526,Gemeente Nijlen,AC
0206642563,Ville de Nivelles,AC
0206644444,Commune de Dison,AC
0206644741,Ville de Verviers,AC
0206645533,Intercommunale Belge d'Electricité Centrale de Monceau-sur-Sambre,AC
0206646721,Intercommunale des Oeuvres Sociales,AC
0206653946,Institut National d'Assurance Maladie-Invalidité,AC
0206667606,Ville d'Enghien,AC
0206677801,Gemeente Brasschaat,AC
0206677997,Gemeente Schoten,AC
0206684927,Stad Blankenberge,AC
0206690271,Ville de Fosses-la-Ville,AC
0206691756,Intercommunale du Gaz et de l'Electricité,AC
0206694528,Bestuur der Posterijen,AC
0206695419,Fabrique d'Eglise Anglicane - Eglise Anglicane Unifiée - United Anglican Church (BR - Bruxelles),AC
0206700763,Ville de Malmédy,AC
0206700862,Ville de Houffalize,AC
0206701159,Commune d'Anhée,AC
0206701753,Ville de Ciney,AC
0206702050,Ville de Dinant,AC
0206703040,Commune de Florennes,AC
0206704525,Commune de Houyet,AC
0206705713,Commune d'Onhaye,AC
0206706109,Ville de Rochefort,AC
0206706604,Commune d'Yvoir,AC
0206731546,Ligue Européenne de Coopération Economique,AC
0206731645,Office National de Sécurité Sociale,AC
0206731744,Caisse de Prévoyance des Ouvriers Mineurs,AC
0206732338,Bureau permanent des Oeuvres nationales des Victimes de Guerre,AC
0206732437,Caisse Auxiliaire d'Assurance Maladie-Invalidité,AC
0206732536,Caisse Auxiliaire de Paiement des Allocations de Chômage,AC
0206732932,Office National des Vacances Annuelles,AC
0206733130,Conseil central de l'Économie,AC
0206733229,Conseil National du Travail,AC
0206734021,Conseil supérieur des Indépendants et des petites et moyennes Entreprises,AC
0206734318,Agence fédérale des risques professionnels,AC
0206734417,Fonds des Construction de l'Enseignement supérieur et des Cités universitaires de l'Etat,AC
0206734516,Fonds des Constructions scolaires et parascolaires de l'Etat,AC
0206735110,Gemeenschappelijke kas voor de koopvaardij,AC
0206735506,Institut Economique et social des classes moyennes - Economisch en sociaal instituut voor de middenstand,AC
0206735803,Institut pour l'encouragement de la Recherche scientifique dans l'Industrie et l'Agriculture,AC
0206736001,Etablissement des assurances sociales d'Eupen-Malmédy,AC
0206737088,Office d'identification-Identificatiedienst,AC
0206737484,Office National de l'Emploi,AC
0206737880,Orchestre national de Belgique,AC
0206738078,Service fédéral des Pensions,AC
0206751837,Stad Poperinge,AC
0206767574,IGEAN dienstverlening,AC
0206768366,Commune de Spa,AC
0206772722,ASSOCIATION INTERCOMMUNALE D'OEUVRES MEDICO-SOCIALES DE MORLANWELZ ET ENVIRONS,AC
0206848639,Intergemeentelijke Maatschappij voor Openbare Gezondheid in Zuid-West-Vlaanderen,AC
0207067482,Stad Tongeren-Borgloon,AC
0207078568,Commune de Saint-Vith,AC
0207087872,"Dender, Durme en Schelde",AC
0207142411,Société de Transports Intercommunaux de l'Aglomération Verviétoise,AC
0207145181,Régie des Eaux de la Ville de Wavre,AC
0207146864,Office de la Coopération au Développement,AC
0207146963,Provinciale Limburgse Elektriciteitsdienst,AC
0207147458,Rijkstechnisch en Landbouwinstituut,AC
0207147656,Institut d'Enseignement Technique de l'Etat,AC
0207147854,Rijksinstituut voor Technisch Onderwijs,AC
0207148052,Openbaar Centrum voor Maatschappelijk Welzijn van Genk,AC
0207148250,Ville de Péruwelz,AC
0207165769,Fluvius Limburg,AC
0207201797,Stad Genk,AC
0207202193,Commune de Saint-Josse-ten-Noode,AC
0207215160,Gemeente Vorselaar,AC
0207227731,Commune de Grez-Doiceau,AC
0207258514,Ville d'Andenne,AC
0207274350,Ville de Genappe,AC
0207274647,Commune de Chaumont-Gistoux,AC
0207275538,Commune de Villers-la-Ville,AC
0207277122,Commune de Waterloo,AC
0207277617,Commune de Rixensart,AC
0207279397,Commune de Bernissart,AC
0207279793,Commune d'Ittre,AC
0207280090,Commune de Brugelette,AC
0207280387,Commune de Courcelles,AC
0207281476,Ville d'Ath,AC
0207282169,Commune de Gerpinnes,AC
0207282268,Commune de La Hulpe,AC
0207283654,Commune de Pont-à-Celles,AC
0207283951,Commune de Seneffe,AC
0207284248,Commune de Chapelle-lez-Herlaimont,AC
0207284347,Ville de Fontaine-l'Evêque,AC
0207284644,Commune de Montigny-le-Tilleul,AC
0207286129,Commune de Boussu,AC
0207286822,Commune de Dour,AC
0207287713,Commune de Frameries,AC
0207288604,Commune de Beauvechain,AC
0207289295,Commune de Jurbise,AC
0207290681,Commune de Lens (Hainaut),AC
0207291572,Commune de Quaregnon,AC
0207292463,Ville de Saint-Ghislain,AC
0207293651,Ville de Comines-Warneton,AC
0207294047,Ville de Braine-le-Comte,AC
0207294443,Ville de Mouscron,AC
0207297017,Ville du Roeulx,AC
0207297116,Ville de Lessines,AC
0207298106,Commune d'Anderlues,AC
0207298502,Ville de Beaumont,AC
0207298995,Ville de Soignies,AC
0207299589,Ville de Binche,AC
0207300678,Ville de Chimay,AC
0207300876,Commune d'Erquelinnes,AC
0207301767,Commune de Froidchapelle,AC
0207302559,Commune de Lobbes,AC
0207303054,Commune de Momignies,AC
0207303747,Commune de Merbes-le-Château,AC
0207306717,Ville d'Antoing,AC
0207307311,Ville de Thuin,AC
0207308596,Commune de Celles (lez-Tournai),AC
0207309091,Commune d'Estaimpuis,AC
0207309784,Commune de Beloeil,AC
0207310774,Ville de Charleroi,AC
0207312259,Commune d'Ellezelles,AC
0207312358,Commune de Flobecq,AC
0207312457,Commune de Quiévrain,AC
0207312952,Commune de Braine-l'Alleud,AC
0207313348,Ville de Fleurus,AC
0207314041,Commune de Tubize,AC
0207315229,Commune de Braine-le-Château,AC
0207316021,Ville de Wavre,AC
0207316714,Ville de Chièvres,AC
0207318197,Commune de Farciennes,AC
0207318593,Commune de Manage,AC
0207330471,Commune d'Amay,AC
0207332352,Commune de Pecq,AC
0207333441,Commune de Hamoir,AC
0207333738,Commune de Héron,AC
0207333837,Commune de Ferrières,AC
0207334035,Commune de Marchin,AC
0207334134,Commune de Modave,AC
0207334332,Ville de Huy,AC
0207334431,Commune de Nandrin,AC
0207334728,Commune d'Ouffet,AC
0207336213,Commune de Verlaine,AC
0207336708,Commune de Villers-le-Bouillet,AC
0207337104,Commune de Wanze,AC
0207338092,Ville d'Ans,AC
0207338389,Commune d'Awans,AC
0207338686,Commune d'Aywaille,AC
0207338884,Commune de Bassenge,AC
0207339280,Commune de Beyne-Heusay,AC
0207339973,Commune de Chaudfontaine,AC
0207340369,Commune de Comblain-au-Pont,AC
0207340468,Commune de Dalhem,AC
0207340963,Commune d'Esneux,AC
0207341557,Commune de Fléron,AC
0207342745,Ville de  Herstal,AC
0207343636,Commune de Juprelle,AC
0207343933,Ville de Liège,AC
0207345418,Commune d'Oupeye,AC
0207346705,Commune de Saint-Nicolas,AC
0207347002,Ville de Seraing,AC
0207347396,Commune de Soumagne,AC
0207347495,Commune de Sprimont,AC
0207347891,Ville de Marche-en-Famenne,AC
0207348584,Ville de Chiny,AC
0207348782,Commune d'Étalle,AC
0207348980,Ville de Florenville,AC
0207350762,Commune d'Assesse,AC
0207353831,Commune de Burdinne,AC
0207354920,Ville de Tournai,AC
0207355019,Commune de Rumes,AC
0207355118,Commune de Clavier,AC
0207355811,Commune de Floreffe,AC
0207358581,Commune d'Ohey,AC
0207359967,Commune d'Eghezée,AC
0207361452,Commune de Sombreffe,AC
